crop,median_abs_rel_dev,max_abs_rel_dev
Peanut,0.08090322349544057,0.11961432768056918
Avocado,0.0809032234954405,0.11961432768056918
Pumpkin,0.08090322349544048,0.11961432768056922
Mint,0.057481429178054336,0.06349426936420875
Rosemary,0.047118150291356194,0.0634942693642088
Coriander,0.04711815029135617,0.0634942693642088
Parsley,0.047118150291356166,0.0634942693642088
Basil,0.04711815029135616,0.0634942693642088
Sugarcane,0.04309515713811017,0.06026855301789664
Grapefruit,0.0430951571381101,0.06026855301789664
Sweet Potato,0.04309515713811002,0.06026855301789657
Citrus Fruit,0.04309515713811002,0.06026855301789664
Chestnut,0.031824401201724646,0.05446617943895204
Coconut,0.03182440120172461,0.054466179438952024
Pecan,0.03182440120172458,0.05446617943895204
Grape,0.03169239502166393,0.03346905443767006
Lemon,0.03169239502166392,0.03346905443767007
Peach,0.03169239502166392,0.03346905443767006
Lettuce,0.031211721254677142,0.03444716954110814
Celery,0.03121172125467707,0.03444716954110814
Maize,0.031123136758237576,0.03444716954110826
Blackberry,0.031105968441498377,0.03257267780060713
Tomato,0.030915610336528596,0.05154891673199379
Blueberry,0.030915610336528596,0.051548916731993764
Strawberry,0.030915610336528596,0.051548916731993764
Watermelon,0.030915610336528596,0.051548916731993764
Cucumber,0.030915610336528582,0.051548916731993764
Pineapple,0.030895444570076407,0.03621276010456054
Papaya,0.030895444570076366,0.036212760104560614
Guava,0.030895444570076366,0.03621276010456048
Plum,0.030043632007377225,0.03257267780060712
Carambola,0.030043632007377186,0.03257267780060708
Chayote,0.030043632007377186,0.03257267780060708
Okra,0.029798915264166736,0.03221067462490822
Zucchini,0.029798915264166736,0.03221067462490822
Eggplant,0.029798915264166587,0.03221067462490818
Radish,0.029767264048880495,0.03221067462490822
Broccoli,0.029751571567775154,0.03232462737858026
Banana,0.02975157156777512,0.03232462737858022
Spinach,0.0297515715677751,0.03232462737858014
Onion,0.029751571567775074,0.03232462737858011
Cauliflower,0.029751571567775074,0.03232462737858014
Garlic,0.02975157156777504,0.032324627378580106
Carrot,0.026360270455920955,0.031920942246068
Citrus × Tangerina,0.025607505681794148,0.03189061501131753
Cabbage,0.025307461101155837,0.06538631572520509
Potato,0.025307461101155837,0.06538631572520508
Lime,0.025307461101155837,0.06538631572520509
Bell Pepper,0.02530746110115568,0.06538631572520509
