crop,article,n_weeks,seasonal_pearson,seasonal_spearman,raw_pearson,raw_spearman,status
Strawberry,Strawberry,523,-0.031113590759232135,0.05894210611191743,0.02023420091722924,0.29481965583887565,ok
Blueberry,Blueberry,523,0.4988103072861198,0.7144009030801484,0.29735828701300226,0.33664720353469313,ok
Watermelon,Watermelon,523,0.900381040397857,0.9470246734397678,0.64336518240276,0.7649188248582568,ok
Cucumber,Cucumber,523,0.559495103619246,0.8260124580870757,0.12294339490189865,0.269285811160093,ok
Tomato,Tomato,523,0.29189499021854237,0.38550233833252695,-0.05089355942649919,-0.053352985070053476,ok
Potato,Potato,523,0.12435576690541288,0.2972101273988066,-0.03668088692778428,-0.23691549125428155,ok
Lime,Lime_(fruit),523,0.1459131347066339,0.25923238187389125,-0.006536334875541704,0.15336739073564562,ok
Bell Pepper,Bell_pepper,523,0.3418451003525252,-0.04088050314465408,0.0472770714366406,0.09335581317592201,ok
Cabbage,Cabbage,523,0.46587181253962684,0.6458765901286095,0.1559332022627862,0.14533903153738895,ok
Guava,Guava,523,-0.4102712726867008,-0.5970004837929366,-0.18903018365422483,-0.1419458391252636,ok
Pineapple,Pineapple,523,0.0017615658792984631,0.03160780519271085,-0.10502281943264022,0.005171584059920433,ok
Papaya,Papaya,523,0.08776102850156194,0.12961880382418722,-0.040542328244455875,-0.04535393179612084,ok
Peanut,Peanut,523,-0.0817790045192081,-0.097887437510079,-0.21546369130488402,-0.17807084930322867,ok
Avocado,Avocado,523,0.45430741092801963,0.3798580874052572,-0.10948624164162948,-0.11065162045098884,ok
Pumpkin,Pumpkin,523,0.8291968197512174,0.7054530806167996,0.7255987156178447,0.5296142319344497,ok
Lemon,Lemon,523,-0.053384149615185575,-0.033139816158684075,-0.13724590931132022,-0.18942642599220325,ok
Grape,Grape,523,-0.3347464969322465,-0.287050475729721,-0.20473172949837237,-0.46832344124530617,ok
Peach,Peach,523,0.8868357242812543,0.8943899048322768,0.5749103129864798,0.6625212944330447,ok
Celery,Celery,523,0.5017289987327777,0.5681341719077568,-0.15695322937173334,-0.2214676036305234,ok
Lettuce,Lettuce,523,0.3963140630788272,0.5824866956942429,0.0015493765477984176,0.014899361723087378,ok
Maize,Maize,366,0.14549173691228887,0.09611353007579422,-0.06984906862452481,-0.11171499211575245,ok
Carrot,Carrot,141,0.4596542784647989,0.648120109245902,-0.3380740861179714,-0.40810878202063827,ok
Grapefruit,Grapefruit,523,0.7269707963599904,0.82578981084841,0.4652138905318878,0.5032819719625059,ok
Citrus Fruit,Citrus,523,0.3219668349769206,0.45871633607482665,0.048076573790287506,0.3304738833133783,ok
Sweet Potato,Sweet_potato,523,0.508297152012153,0.5518464763747782,0.11395488316876538,-0.06927187157886856,ok
Sugarcane,Sugarcane,523,0.403269750643889,0.4964120324772148,-0.136716661052913,0.06211377615897725,ok
Okra,Okra,523,0.7248722436768003,0.7879374294468633,0.1653495692812897,0.1482364264396488,ok
Zucchini,Zucchini,523,0.7513268220478124,0.7897113368811483,0.5306456008732742,0.4615850271355434,ok
Eggplant,Eggplant,523,0.37199108097486566,0.26342525399129174,0.21803115535496811,0.27569413061665143,ok
Radish,Radish,414,0.6005931522708564,0.6894049346879536,0.04271808194650431,0.025664313425386245,ok
Blackberry,Blackberry,428,0.5183252594447055,0.5628124496049024,0.23426666680911665,0.26512470509546027,ok
Carambola,Carambola,497,0.7930216802582672,0.8316400580551524,0.50165597997215,0.5707585644655984,ok
Citrus × Tangerina,Tangerine,48,0.3093914106523289,0.38558641755307843,0.3093914106523291,0.38558641755307843,ok
Plum,Plum,497,0.8932514166418057,0.8923560716013547,0.6075019653201529,0.6293836327518826,ok
Chayote,Chayote,496,0.15990702540188953,0.1445734558942106,0.44292662810548067,0.4159288992039205,ok
Coconut,Coconut,523,0.12997143139858805,0.15521690049991937,0.35503707285312486,0.23369757038445224,ok
Pecan,Pecan,523,0.6920291918088896,0.8277697145621673,0.3412345467855803,0.32964209872183503,ok
Chestnut,Chestnut,523,0.7137715498948785,0.7781630538968641,0.572861223977457,0.5519448390965017,ok
Coriander,Coriander,523,0.511153120131655,0.5411223996129656,0.5001156895824557,0.3597098685838393,ok
Parsley,Parsley,523,0.6554154061753809,0.7336719883889694,0.5549368582459897,0.4774783000042609,ok
Mint,Mentha,287,0.2798407754836012,0.35099177552007743,-0.2367118897822994,-0.2734488730720061,ok
Rosemary,Rosemary,523,-0.047324625355618724,0.2101273988066441,0.03821289059573414,0.14651423615793202,ok
Basil,Basil,523,0.8748847360718289,0.932510885341074,0.6307827040301793,0.5817551677112369,ok
Onion,Onion,523,0.14692745179396696,0.3134171907756813,-0.3503673911504081,-0.2679612769490565,ok
Garlic,Garlic,523,-0.2466811781677417,-0.1012739880664409,-0.4298035790894093,-0.4621564165328473,ok
Spinach,Spinach,523,0.24120686804364652,0.5608772778584099,0.029806821283201307,0.10782489264826853,ok
Banana,Banana,523,0.29224893827415516,0.3650694459185118,-0.30387641976836866,-0.327195336550142,ok
Broccoli,Broccoli,385,0.5063341344536627,0.5632156103854218,0.03062113496779128,0.07304886450346958,ok
Cauliflower,Cauliflower,523,0.8017858445194074,0.5961135300757942,0.32639809532914127,0.30510966768122183,ok
